auto_resize	MCP_BrowserEvents.wsv:2926
before_unload	MCP_BrowserEvents.wsv:2027
browser_closing	MCP_BrowserEvents.wsv:227
browser_created	MCP_BrowserEvents.wsv:173
client_cert_selected	MCP_BrowserEvents.wsv:3023
context_menu_command	MCP_BrowserEvents.wsv:2798
context_menu_dismissed	MCP_BrowserEvents.wsv:2810
context_menu_opening	MCP_BrowserEvents.wsv:2758
context_menu_run	MCP_BrowserEvents.wsv:2777
cursor_changed	MCP_BrowserEvents.wsv:2909
devtools_attached	MCP_Callbacks.wsv:550
devtools_detached	MCP_Callbacks.wsv:558
devtools_popup	MCP_BrowserEvents.wsv:1469
do_close	MCP_BrowserEvents.wsv:2435
download_progress	MCP_BrowserEvents.wsv:763
download_request	MCP_BrowserEvents.wsv:2309
download_start	MCP_BrowserEvents.wsv:697;MCP_BrowserEvents.wsv:709
download_start_error	MCP_BrowserEvents.wsv:677
drag_enter	MCP_BrowserEvents.wsv:2987
draggable_regions_changed	MCP_BrowserEvents.wsv:3004
favicon	MCP_BrowserEvents.wsv:2147
file_dialog	MCP_BrowserEvents.wsv:2071
find_result	MCP_BrowserEvents.wsv:2187
focus_gained	MCP_BrowserEvents.wsv:2387
focus_lost	MCP_BrowserEvents.wsv:2369
frame_attached	MCP_BrowserEvents.wsv:3082
frame_created	MCP_BrowserEvents.wsv:2219
frame_detached	MCP_BrowserEvents.wsv:2245
fullscreen	MCP_BrowserEvents.wsv:2103
ipc_from_renderer	MCP_BrowserEvents.wsv:2627
ipc_from_renderer_ext	MCP_BrowserEvents.wsv:2597
js_dialog	MCP_BrowserEvents.wsv:1981
js_dialog_closed	MCP_BrowserEvents.wsv:3071
js_dialog_reset	MCP_BrowserEvents.wsv:3062
key_event	MCP_BrowserEvents.wsv:3036
key_press	MCP_BrowserEvents.wsv:2347
load_error	MCP_BrowserEvents.wsv:1667
load_progress	MCP_BrowserEvents.wsv:2419
load_start	MCP_BrowserEvents.wsv:1597
loading_state_change	MCP_BrowserEvents.wsv:1521
main_document_creating	MCP_BrowserEvents.wsv:2882
main_frame_changed	MCP_BrowserEvents.wsv:2275
media_access_change	MCP_BrowserEvents.wsv:3113
navigate	MCP_BrowserEvents.wsv:1157
offscreen_get_root_rect	MCP_BrowserEvents.wsv:3206
offscreen_get_screen_info	MCP_BrowserEvents.wsv:3271
offscreen_get_screen_point	MCP_BrowserEvents.wsv:3229
offscreen_get_view_rect	MCP_BrowserEvents.wsv:3259
offscreen_ime_range	MCP_BrowserEvents.wsv:3409
offscreen_paint	MCP_BrowserEvents.wsv:3335
offscreen_paint_accelerated	MCP_BrowserEvents.wsv:3350
offscreen_popup_show	MCP_BrowserEvents.wsv:3286
offscreen_popup_size	MCP_BrowserEvents.wsv:3314
offscreen_scroll_offset	MCP_BrowserEvents.wsv:3398
offscreen_start_dragging	MCP_BrowserEvents.wsv:3368
offscreen_text_selection	MCP_BrowserEvents.wsv:3423
offscreen_update_drag_cursor	MCP_BrowserEvents.wsv:3383
offscreen_virtual_keyboard	MCP_BrowserEvents.wsv:3436
open_url_from_tab	MCP_BrowserEvents.wsv:2856
permission_media_request	MCP_BrowserEvents.wsv:3133
permission_prompt_close	MCP_BrowserEvents.wsv:3169
permission_prompt_show	MCP_BrowserEvents.wsv:3153
popup	MCP_BrowserEvents.wsv:1427
popup_failed	MCP_BrowserEvents.wsv:1489
protocol_execution	MCP_BrowserEvents.wsv:2873
quick_menu_command	MCP_BrowserEvents.wsv:2826
quick_menu_dismissed	MCP_BrowserEvents.wsv:2838
render_view_ready	MCP_BrowserEvents.wsv:2937
resource_redirect	MCP_BrowserEvents.wsv:1821
resource_request	MCP_BrowserEvents.wsv:1747
resource_response	MCP_BrowserEvents.wsv:1783
set_focus	MCP_BrowserEvents.wsv:3051
status_message	MCP_BrowserEvents.wsv:1547
title_changed	MCP_BrowserEvents.wsv:1701
tooltip	MCP_BrowserEvents.wsv:2892
url_changed	MCP_BrowserEvents.wsv:907
urlreq_auth	MCP_Callbacks.wsv:905
urlreq_download	MCP_Callbacks.wsv:872
urlreq_start	MCP_Callbacks.wsv:852
