auto_resize	MCP_BrowserEvents.wsv:2836
before_unload	MCP_BrowserEvents.wsv:1989
browser_closing	MCP_BrowserEvents.wsv:227
browser_created	MCP_BrowserEvents.wsv:173
client_cert_selected	MCP_BrowserEvents.wsv:2877
context_menu_command	MCP_BrowserEvents.wsv:2708
context_menu_dismissed	MCP_BrowserEvents.wsv:2720
context_menu_opening	MCP_BrowserEvents.wsv:2668
context_menu_run	MCP_BrowserEvents.wsv:2687
cursor_changed	MCP_BrowserEvents.wsv:2819
do_close	MCP_BrowserEvents.wsv:2397
download_progress	MCP_BrowserEvents.wsv:763
download_request	MCP_BrowserEvents.wsv:2271
download_start	MCP_BrowserEvents.wsv:697;MCP_BrowserEvents.wsv:709
download_start_error	MCP_BrowserEvents.wsv:677
draggable_regions_changed	MCP_BrowserEvents.wsv:2858
favicon	MCP_BrowserEvents.wsv:2109
file_dialog	MCP_BrowserEvents.wsv:2033
find_result	MCP_BrowserEvents.wsv:2149
focus_gained	MCP_BrowserEvents.wsv:2349
focus_lost	MCP_BrowserEvents.wsv:2331
frame_attached	MCP_BrowserEvents.wsv:2936
frame_created	MCP_BrowserEvents.wsv:2181
frame_detached	MCP_BrowserEvents.wsv:2207
fullscreen	MCP_BrowserEvents.wsv:2065
ipc_from_renderer	MCP_BrowserEvents.wsv:2537
js_dialog	MCP_BrowserEvents.wsv:1943
js_dialog_closed	MCP_BrowserEvents.wsv:2925
js_dialog_reset	MCP_BrowserEvents.wsv:2916
key_event	MCP_BrowserEvents.wsv:2890
key_press	MCP_BrowserEvents.wsv:2309
load_error	MCP_BrowserEvents.wsv:1629
load_progress	MCP_BrowserEvents.wsv:2381
load_start	MCP_BrowserEvents.wsv:1559
loading_state_change	MCP_BrowserEvents.wsv:1483
main_document_creating	MCP_BrowserEvents.wsv:2792
main_frame_changed	MCP_BrowserEvents.wsv:2237
navigate	MCP_BrowserEvents.wsv:1157
offscreen_get_screen_info	MCP_BrowserEvents.wsv:3029
offscreen_get_screen_point	MCP_BrowserEvents.wsv:3017
offscreen_ime_range	MCP_BrowserEvents.wsv:3137
offscreen_paint	MCP_BrowserEvents.wsv:3063
offscreen_paint_accelerated	MCP_BrowserEvents.wsv:3078
offscreen_popup_show	MCP_BrowserEvents.wsv:3044
offscreen_scroll_offset	MCP_BrowserEvents.wsv:3126
offscreen_start_dragging	MCP_BrowserEvents.wsv:3096
offscreen_text_selection	MCP_BrowserEvents.wsv:3151
offscreen_update_drag_cursor	MCP_BrowserEvents.wsv:3111
offscreen_virtual_keyboard	MCP_BrowserEvents.wsv:3164
open_url_from_tab	MCP_BrowserEvents.wsv:2766
permission_media_request	MCP_BrowserEvents.wsv:2957
permission_prompt_close	MCP_BrowserEvents.wsv:2993
permission_prompt_show	MCP_BrowserEvents.wsv:2977
popup	MCP_BrowserEvents.wsv:1427
popup_failed	MCP_BrowserEvents.wsv:1451
protocol_execution	MCP_BrowserEvents.wsv:2783
quick_menu_command	MCP_BrowserEvents.wsv:2736
quick_menu_dismissed	MCP_BrowserEvents.wsv:2748
render_view_ready	MCP_BrowserEvents.wsv:2847
resource_redirect	MCP_BrowserEvents.wsv:1783
resource_request	MCP_BrowserEvents.wsv:1709
resource_response	MCP_BrowserEvents.wsv:1745
set_focus	MCP_BrowserEvents.wsv:2905
status_message	MCP_BrowserEvents.wsv:1509
title_changed	MCP_BrowserEvents.wsv:1663
tooltip	MCP_BrowserEvents.wsv:2802
url_changed	MCP_BrowserEvents.wsv:907
